n_slots,h_lb,h_yb,h_gb,cagr,mdd,calmar,sharpe,vol,final
7,14,30,3,0.48966276946754306,-0.32850159038413096,1.4905948214587315,1.3088006217013624,0.35223968376925663,2390799.4806919787
7,14,30,7,0.4940709037525972,-0.32902402711130063,1.5016256049454568,1.312830168077613,0.3538382608890105,2447729.572461978
7,14,30,14,0.4935440685734447,-0.3294167451492539,1.498236127461666,1.307538277334814,0.3554192934136015,2440863.833725787
7,14,30,30,0.5391743631675832,-0.3279432960162142,1.6441085081395452,1.377507832871056,0.36061138330439635,3101962.9693025113
7,30,3,3,0.6025855791100874,-0.4275487522300232,1.4093961822297485,1.2857038579639468,0.44527326040989335,4278384.712524428
7,30,3,7,0.6060543601327646,-0.4275487522300232,1.4175093646553425,1.2886020416389374,0.4463057035165648,4352697.592311534
7,30,3,14,0.6043870910558415,-0.4275487522300232,1.4136097647425212,1.2843011220827487,0.44732374669380853,4316839.44009964
7,30,3,30,0.6554458276407844,-0.4275487522300232,1.5330317869531556,1.337601157885436,0.4558253605073855,5540234.581398137
7,30,7,3,0.6098915791594626,-0.43808812180924406,1.3921664359231967,1.2799480321498378,0.453841643187208,4436216.285090543
7,30,7,7,0.6137490176833955,-0.43808812180924406,1.400971601669308,1.28322584043742,0.4549339910749685,4521584.133321964
7,30,7,14,0.6132076602066132,-0.43808812180924406,1.3997358743125685,1.2805506764635506,0.45597006438687254,4509517.531616041
7,30,7,30,0.6643343253841263,-0.43808812180924406,1.5164399405318645,1.3332836524479423,0.4642241100746557,5781628.1191863995
7,30,14,3,0.7062095040477909,-0.40522845861221835,1.7427440966667032,1.3645364737964283,0.47553393799565113,7046936.27954632
7,30,14,7,0.7103968819499571,-0.40522845861221835,1.75307747235435,1.3675944111133203,0.47665162922712057,7185860.30929172
7,30,14,14,0.7103086423400216,-0.40522845861221835,1.7528597196075717,1.3655532455205717,0.4776602879631615,7182908.27817034
7,30,14,30,0.7621485598215036,-0.40522845861221835,1.8807873524767382,1.4127187671344585,0.48559184004507244,9111355.544852793
7,30,30,3,0.8508887201089927,-0.3908212338516134,2.177181397549288,1.4757949443583003,0.5046218705063804,13474909.392511219
7,30,30,7,0.8551597700122531,-0.3911878955849136,2.186058872638678,1.4782808312229008,0.5056992708207756,13724555.849690747
7,30,30,14,0.8541802954951807,-0.3911284232880585,2.183887042302966,1.4753958304826145,0.5066313605906095,13666950.174873238
7,30,30,30,0.9103430199399762,-0.3916914530292662,2.3241329697126623,1.5196593103337415,0.5140411776593288,17333470.063846853
10,3,3,3,0.055369240788520235,-0.1891495511753084,0.2927273178523309,0.6815836468348201,0.08445206849415927,153603.97215582113
10,3,3,7,0.058389869179357845,-0.19514670937806067,0.29921011410055737,0.7045812196912087,0.08594019597904079,157140.5261781108
10,3,3,14,0.061814727097791566,-0.19103251819571354,0.32358222401937947,0.7268060389369646,0.08801456929129864,161236.30177118647
10,3,3,30,0.07991659215730107,-0.17084777805893092,0.46776489027405,0.7940717949636185,0.10375473603613057,184473.201239707
10,3,7,3,0.09013447622990922,-0.16635821788764493,0.5418095804006765,0.7907613467253535,0.11803685957435286,198841.3049401128
10,3,7,7,0.09380241348205898,-0.17184854053729948,0.5458435270312889,0.813348306501686,0.11904673564075123,204232.61760448877
10,3,7,14,0.09815494632200616,-0.1650606548908481,0.5946598623815859,0.8311285566582401,0.12165484356718113,210795.66454501232
10,3,7,30,0.11287281064341714,-0.14261759061541246,0.7914368077342849,0.8843867627483004,0.13071042569195607,234374.93455439142
10,3,14,3,0.16186360701652425,-0.13619491797271166,1.1884702412240935,0.9838374906881711,0.16639699527417293,330310.35013682145
10,3,14,7,0.16591403940772897,-0.13619491797271166,1.218210208408598,0.9988768897044242,0.16758055705352926,339593.56805261335
10,3,14,14,0.17085713916920042,-0.13619491797271166,1.2545045124476213,1.0145169027056693,0.16949152232213144,351231.18710333406
10,3,14,30,0.1853378644881123,-0.13619491797271166,1.3608280488501563,1.042173706661865,0.17824198174362388,387354.9118827249
10,3,30,3,0.24713092511511991,-0.22903394430130464,1.0790144049128712,1.1210206687389104,0.218226397897429,580607.5528899648
10,3,30,7,0.25162636906589686,-0.22903394430130475,1.0986422551186157,1.1335103745083586,0.21918952679868703,597486.7905625668
10,3,30,14,0.2565152977769598,-0.22903394430130475,1.1199881247274948,1.1443927854781266,0.22083404583441746,616329.077423195
10,3,30,30,0.2734180231165295,-0.22903394430130464,1.19378821314292,1.172000510677096,0.22849816478468166,685538.4282359458
10,7,3,3,0.1281729671392844,-0.28722106030930883,0.4462519809698311,0.8345330839573638,0.16016055541152333,261301.16993014314
10,7,3,7,0.1315765634094157,-0.28875927953171676,0.4556617665163678,0.8460244010919593,0.16187677838970604,267646.04481797316
10,7,3,14,0.1351560530977256,-0.27844571848563837,0.4853946177832742,0.8557716349432692,0.16416122957481488,274463.7630141641
10,7,3,30,0.15581835266984845,-0.23406539376290536,0.6657043579354724,0.9265198266611999,0.17266330244141712,316867.9536240019
10,7,7,3,0.16339705041732677,-0.2512451634254347,0.6503490383241557,0.9175176212042768,0.18349807111973906,333798.41769040155
10,7,7,7,0.1673581581558765,-0.2513186226374404,0.665920242597033,0.9300851892551859,0.18497133710106894,342958.0876247744
10,7,7,14,0.1719726343903707,-0.2386553294562056,0.7205899603508686,0.9395804097233399,0.18786859438786718,353905.12617932324
10,7,7,30,0.18924920015555768,-0.19828885780192018,0.9544116712024605,0.9965946155668786,0.1927981887744754,397652.60108657286
10,7,14,3,0.23995068832502797,-0.17995503745781016,1.3333924502184806,1.0862833744626368,0.220325330521102,554511.8820771467
10,7,14,7,0.24431471956461204,-0.18068448191556863,1.3521621612130308,1.0957554766097009,0.22195976488564065,570247.1799082896
